keyword,last_position,last_rank_absolute,search_volume,etv_when_ranking,keyword_difficulty,cpc,search_intent,lost_url,url_type,is_brand,last_seen
sonos play 1 specs,7,12,50,1.3,0,,informational,https://wassersfurniture.com/sonos-play-1.html,legacy .html,False,2026-04-07 19:01:18 +00:00
tempur-pedic cloud breeze mattress,7,9,50,1.3,10,5.119999885559082,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-07 16:45:58 +00:00
american leather recliner sale,7,9,40,1.3,0,2.059999942779541,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-recliner-by-american-leather.html,legacy .html,False,2026-04-12 17:22:49 +00:00
missoni ottoman poufs,10,14,140,1.2,0,3.180000066757202,transactional,https://wassersfurniture.com/missoni-home-patch-cylinder-ottoman-pouf-16-x-12-free-pickup-free-shipping.html,legacy .html,False,2026-04-05 13:53:39 +00:00
variable balans by varier,10,16,90,1.0,3,3.559999942779541,informational,https://wassersfurniture.com/varier-variable-balans-ergonomic-task-chair-with-backrest-free-shipping-no-tax.html,legacy .html,False,2026-03-07 11:39:52 +00:00
naos motion table,9,11,70,1.0,0,0.7099999785423279,navigational,https://wassersfurniture.com/naos-motion-cocktail-table-gemelli.html,legacy .html,False,2026-05-09 04:42:59 +00:00
italian dining chairs set of 6,9,12,50,1.0,0,2.490000009536743,transactional,https://wassersfurniture.com/vintage-italian-dining-chairs-set-of-6.html,legacy .html,False,2026-04-08 15:05:01 +00:00
gender neutral nursery furniture,8,10,50,1.0,0,1.7400000095367432,navigational,https://wassersfurniture.com/a-gender-neutral-nursery-room.html,legacy .html,False,2026-03-26 14:46:25 +00:00
oriental weavers rug pads,8,9,50,1.0,0,2.619999885559082,transactional,https://wassersfurniture.com/oriental-weavers-5-x-8-premiere-grip-all-in-one-rug-pad-748679210060.html,legacy .html,False,2026-04-10 22:29:48 +00:00
tempur pedic cloud breeze mattress,8,11,50,1.0,10,5.119999885559082,transactional,https://wassersfurniture.com/tempur-cloud-luxe-breeze.html,legacy .html,False,2026-04-07 16:46:01 +00:00
tessellated stone dining table,8,12,50,1.0,0,0.8399999737739563,transactional,https://wassersfurniture.com/tessellated-stone-x-extendable-dining-table.html,legacy .html,False,2026-04-10 09:25:24 +00:00
american leather sheets,7,8,40,1.0,0,3.75,transactional,https://wassersfurniture.com/american-leather-comfort-sleeper-gotcha-covered-white-sheet-set-sea-salt.html,legacy .html,False,2026-04-16 17:22:17 +00:00
carrol boyes trays,7,11,40,1.0,0,,transactional,https://wassersfurniture.com/shop-by-brand/a-c/carrol-boyes.html,legacy .html,False,2026-03-27 11:32:57 +00:00
costantini pietro dining chairs,7,10,40,1.0,0,0.6499999761581421,transactional,https://wassersfurniture.com/shop-by-brand/a-c/costantini-pietro-furniture.html,legacy .html,False,2026-04-15 06:38:23 +00:00
