domain,category,keywords_in_space,etv_in_space,traffic_share_pct,avg_position,visibility
shop.fourseasons.com,brand/retail,32,5514,0.03,15.3,13.7
cheatography.com,brand/retail,1,5502,0.03,1.0,1.0
infinitypillow.co,brand/retail,1,5502,0.03,1.0,1.0
jacobspillow.org,brand/retail,1,5502,0.03,1.0,1.0
momcozy.com,brand/retail,26,5493,0.03,12.0,7.7
faithfullthebrand.com,brand/retail,13,5459,0.03,16.8,4.9
yayaandco.com,brand/retail,28,5449,0.03,28.2,3.2
itssewemma.com,brand/retail,21,5447,0.03,19.4,5.0
gerberchildrenswear.com,brand/retail,3,5433,0.03,1.7,2.8
shoplittledesignco.com,brand/retail,4,5425,0.03,2.2,3.5
cleanskinclub.com,brand/retail,2,5407,0.03,1.5,1.9
pillows.com,brand/retail,93,5403,0.03,30.2,8.5
ratfactor.com,brand/retail,2,5402,0.03,3.5,1.5
collinsdictionary.com,brand/retail,17,5401,0.03,18.9,3.8
bettymcknit.com,brand/retail,11,5377,0.03,5.8,7.2
diaryofaquilter.com,brand/retail,41,5362,0.03,18.4,8.8
jessmeany.com,brand/retail,1,5362,0.03,2.0,0.9
cvs.com,brand/retail,72,5285,0.03,22.8,11.1
bearaby.com,brand/retail,48,5261,0.03,22.2,7.7
nebraskaquiltcompany.com,brand/retail,12,5237,0.03,19.1,2.0
asos.com,brand/retail,132,5201,0.03,21.3,10.4
natori.com,brand/retail,44,5158,0.03,15.8,13.8
madeinoregon.com,brand/retail,5,5153,0.03,11.4,2.0
lexnetcg.com,brand/retail,1,5152,0.03,21.0,0.0
frommers.com,brand/retail,16,5130,0.03,5.9,8.2
allmodern.com,brand/retail,261,5123,0.03,28.0,9.9
mycursive.com,brand/retail,3,5123,0.03,3.7,2.2
stitchedincolor.com,brand/retail,8,5116,0.03,3.4,6.1
carex.com,brand/retail,58,5111,0.03,18.1,12.8
silksilky.com,brand/retail,52,5107,0.03,22.6,10.4
boutiquerugs.com,brand/retail,53,5107,0.03,26.9,5.0
anne-de-solene.com,brand/retail,43,5060,0.03,17.9,7.1
gomuskox.com,brand/retail,6,5052,0.03,14.8,3.3
usapan.com,brand/retail,5,5049,0.03,9.0,2.6
organicbeautylover.com,brand/retail,9,5027,0.03,5.6,4.9
microfiberwholesale.com,brand/retail,3,5018,0.03,4.3,2.0
vintageandvogue.com,brand/retail,15,5014,0.03,16.7,3.6
bhg.com,publisher,175,5011,0.03,37.3,3.9
quiltingdaily.com,brand/retail,35,5008,0.03,18.5,8.6
the-citizenry.com,brand/retail,60,5003,0.03,17.0,16.8
spoonflower.com,brand/retail,47,4992,0.03,22.3,5.8
canvaschamp.com,brand/retail,15,4959,0.03,10.2,6.8
naturepedic.com,brand/retail,73,4908,0.03,14.8,18.2
accessibilitymedical.org,brand/retail,14,4886,0.03,20.5,2.0
fabrics-store.com,brand/retail,8,4849,0.03,12.1,4.9
amanawoolenmill.com,brand/retail,6,4825,0.03,8.2,3.3
picnictime.com,brand/retail,3,4822,0.02,14.3,0.9
marleysmonsters.com,brand/retail,7,4821,0.02,17.6,2.5
